Country,Code,Year,Unemployment_Rate,Deaths,Population,DeathsPer10000
Guyana,GUY,2003,11.5539999,197,798761,2.466319713
Guyana,GUY,2004,11.2670002,175,798761,2.190893146
Guyana,GUY,2005,11.02299976,186,798761,2.328606429
Guyana,GUY,2006,10.69999981,181,798761,2.266009482
Guyana,GUY,2007,10.95699978,162,798761,2.028141084
Guyana,GUY,2008,11.27099991,162,798761,2.028141084
Guyana,GUY,2009,11.52600002,150,798761,1.877908411
Guyana,GUY,2010,11.79800034,163,798761,2.040660473
Guyana,GUY,2011,12.05700016,168,798761,2.10325742
Guyana,GUY,2012,12.33500004,165,798761,2.065699252
Guyana,GUY,2013,12.62800026,184,798761,2.30356765
Guyana,GUY,2014,12.92399979,184,798761,2.30356765
Guyana,GUY,2015,13.21199989,176,798761,2.203412535
Guyana,GUY,2016,13.46399975,175,798761,2.190893146
Guyana,GUY,2017,13.74600029,176,798761,2.203412535
Guyana,GUY,2018,14.02000046,179,798761,2.240970703
Guyana,GUY,2019,13.99199963,179,798761,2.240970703
Paraguay,PRY,1992,4.980000019,360,6530029,0.551299236
Paraguay,PRY,1993,5.059999943,421,6530029,0.644713829
Paraguay,PRY,1994,4.409999847,507,6530029,0.776413091
Paraguay,PRY,1995,3.400000095,591,6530029,0.905049579
Paraguay,PRY,1996,8.149999619,665,6530029,1.0183722
Paraguay,PRY,1997,5.360000134,714,6530029,1.093410152
Paraguay,PRY,1998,4.420000076,751,6530029,1.150071462
Paraguay,PRY,1999,5.340000153,808,6530029,1.237360508
Paraguay,PRY,2000,7.610000134,852,6530029,1.304741526
Paraguay,PRY,2001,6.210000038,877,6530029,1.343026195
Paraguay,PRY,2002,9.390000343,897,6530029,1.37365393
Paraguay,PRY,2003,6.809999943,914,6530029,1.399687505
Paraguay,PRY,2004,6.510000229,916,6530029,1.402750279
Paraguay,PRY,2005,4.820000172,872,6530029,1.335369261
Paraguay,PRY,2006,5.28000021,839,6530029,1.284833498
Paraguay,PRY,2007,4.710000038,801,6530029,1.226640801
Paraguay,PRY,2008,4.420000076,785,6530029,1.202138612
